label	url
3 Banken Emerging Market Bond-Mix	/fonds/wkn/937603
3 Banken Euro Bond-Mix	/fonds/wkn/971930
3 BANKEN EUROPA STOCK MIX	/fonds/wkn/989378
3 BANKEN NACHHALTIGKEITSFONDS	/fonds/wkn/A0DJZ8
3 BANKEN PORTFOLIO MIX	/fonds/wkn/165496
3 Banken Portfolio-Mix	/fonds/wkn/937600
3 BANKEN SHORT TERM EUROBOND MIX	/fonds/wkn/989697
3 BANKEN STAATSANLEIHEN FONDS	/fonds/wkn/A0ER7P
3 BANKEN STERREICH FONDS	/fonds/wkn/255243
4Q SMART POWER	/fonds/wkn/A0RHHC
4Q-EUROPEAN VALUE FONDS UNIVERSAL	/fonds/wkn/978198
4Q-INCOME FONDS UNIVERSAL	/fonds/wkn/978199
4Q-VALUE FONDS UNIVERSAL	/fonds/wkn/978163
Aberdeen Global - Asia Pacific Equity Fund	/fonds/wkn/972857
Aberdeen Global - Asian Smaller Companies Fund	/fonds/wkn/A0HMM3
Aberdeen Global - Australasian Equity Fund	/fonds/wkn/973327
Aberdeen Global - Chinese Equity Fund	/fonds/wkn/A0HMN2
Aberdeen Global - Emerging Markets Equity Fund	/fonds/wkn/769088
Aberdeen Global - Emerging Markets Smaller Companies Fund	/fonds/wkn/A0MQN4
Aberdeen Global - European Equity Ex UK Fund	/fonds/wkn/A0HMS8
Aberdeen Global - European Equity Fund	/fonds/wkn/989899
Aberdeen Global - European Equity Income Fund	/fonds/wkn/A1CY85
Aberdeen Global - Indian Equity Fund	/fonds/wkn/A0HMTV
Aberdeen Global - Japanese Equity Fund	/fonds/wkn/973299
Aberdeen Global - Select Emerging Markets Bond Fund	/fonds/wkn/769092
Aberdeen Global - Select Euro High Yield Bond Fund	/fonds/wkn/933486
Aberdeen Global - UK Equity Fund	/fonds/wkn/973319
Aberdeen Global - World Equity Fund	/fonds/wkn/989897
Aberdeen Liquidity Fund (Lux) - Euro Fund	/fonds/wkn/973498
Absolute Asia AM Emerging Asia Fund	/fonds/wkn/989736
Absolute Asia AM Pacific Rim Equities Fund	/fonds/wkn/592287
Absolute Return Bond (EUR)	/fonds/wkn/926237
Absolute Return Bond (EUR)	/fonds/wkn/926238
AC Risk Parity 12 Fund	/fonds/wkn/A0RNQ5
ACATIS - GANÉ VALUE EVENT FONDS UI	/fonds/wkn/A1C5D1
ACATIS 5 Sterne-Universal - Fonds	/fonds/wkn/531713
ACATIS Aktien Europa Fonds UI	/fonds/wkn/A1C2XL
ACATIS AKTIEN GLOBAL FONDS UI	/fonds/wkn/978174
ACATIS AKTIEN GLOBAL FONDS UI	/fonds/wkn/A0HF4S
ACATIS ASIA PACIFIC PLUS FONDS UI	/fonds/wkn/532030
ACATIS CHAMPIONS SELECT - ACATIS AKTIEN DEUTSCHLAND ELM	/fonds/wkn/163701
ACATIS Datini Valueflex Fonds	/fonds/wkn/A1H72F
ACATIS GAN VALUE EVENT FONDS UI	/fonds/wkn/A0X754
ACATIS IFK VALUE RENTEN UI	/fonds/wkn/A0X758
ACM BERNSTEIN AMERICAN GROWTH PORTFOLIO A	/fonds/wkn/986838
ACM BERNSTEIN GLOBAL EQUITY BLEND PORTFOLIO A	/fonds/wkn/A0DK7R
ACM BERNSTEIN INTERNATIONAL TECHNOLOGY A	/fonds/wkn/986514
ACM BERNSTEIN VALUE INVESTMENTS EUROPEAN VALUE PORTFOLIO A	/fonds/wkn/659142
ACMBernstein - China Opportunity Portfolio	/fonds/wkn/930674
ACMBernstein - Global High Yield Portfolio	/fonds/wkn/933571
ACMBernstein India Growth Portfolio	/fonds/wkn/973247
advantage dynamisch OP	/fonds/wkn/511742
advantage konservativ OP	/fonds/wkn/511759
ADVISER I FUNDS - Albrech & Cie. Optiselect Fonds	/fonds/wkn/933882
Advisor Global	/fonds/wkn/554716
African Equity Fund	/fonds/wkn/A0RASM
AHF GLOBAL SELECT	/fonds/wkn/A0NEBC
AktivMix Vario Select	/fonds/wkn/A0H0WT
AKZENT Invest Fonds 1 (Lux)	/fonds/wkn/A0NJKP
AKZENT Invest Fonds 1 (Lux)	/fonds/wkn/A0NJKN
AKZENT Invest Fonds 1 (Lux)	/fonds/wkn/A0NH3A
AKZENT Invest Fonds 1 (Lux) 	/fonds/wkn/A0NJKQ
AL Trust Aktien Europa	/fonds/wkn/847176
AL Trust Euro Cash	/fonds/wkn/847178
AL Trust Euro Renten	/fonds/wkn/847161
AL Trust Euro Short Term	/fonds/wkn/847169
Albatros Fonds OP	/fonds/wkn/848646
ALKEN FUND-European Opportunities	/fonds/wkn/A0H06Q
Allianz Adifonds	/fonds/wkn/847103
Allianz Adiverba	/fonds/wkn/847106
Allianz Aktien Europa	/fonds/wkn/847148
Allianz Biotechnologie	/fonds/wkn/848186
Allianz BRIC Stars	/fonds/wkn/A0ETQ9
Allianz China Fund 	/fonds/wkn/972883
Allianz Corporate Bond Europa HiYield	/fonds/wkn/935900
Allianz Euro Rentenfonds	/fonds/wkn/847504
Allianz Euro Rentenfonds K 	/fonds/wkn/847518
Allianz EuropaVision	/fonds/wkn/976967
Allianz Europazins	/fonds/wkn/847603
Allianz Flexi Euro Balance 	/fonds/wkn/978986
Allianz Flexi Euro Dynamik	/fonds/wkn/978983
Allianz Flexi Immo	/fonds/wkn/979734
Allianz Flexi Immo	/fonds/wkn/979733
Allianz Flexi Rentenfonds	/fonds/wkn/847192
Allianz Fonds Japan 	/fonds/wkn/847511
Allianz Fonds Schweiz	/fonds/wkn/847601
