label	url
 SANTANDER SICAV	/fonds/fondgesellschaften/3494
1. SICAV	/fonds/fondgesellschaften/737
3 Banken Generali Invest	/fonds/fondgesellschaften/563
Aachener Grundvermögen	/fonds/fondgesellschaften/689
AACHENER GRUNDVERMÖGEN Kapitalanlagegesellschaft mbH	/fonds/fondgesellschaften/3391
Aberdeen Asset Management Deutschland AG	/fonds/fondgesellschaften/3452
Aberdeen Global Services S.A.	/fonds/fondgesellschaften/3082
Aberdeen Global SICAV	/fonds/fondgesellschaften/3255
Aberdeen Immobilien Kapitalanlagegesellschaft mbH	/fonds/fondgesellschaften/3010
Aberdeen Investment	/fonds/fondgesellschaften/517
Aberdeen Liquidity Fund (Lux) SICAV	/fonds/fondgesellschaften/3489
ABN AMRO Multi-Manager Funds	/fonds/fondgesellschaften/3573
Access Fund	/fonds/fondgesellschaften/3007
ACM Bernstein	/fonds/fondgesellschaften/463
ACMBernstein SICAV	/fonds/fondgesellschaften/3298
ACOLIN Fund Management S.A.	/fonds/fondgesellschaften/3136
Adviser 1 Fund Sicav	/fonds/fondgesellschaften/3062
Alceda Fund Management S.A.	/fonds/fondgesellschaften/827
Alger Fund	/fonds/fondgesellschaften/513
Alger SICAV	/fonds/fondgesellschaften/3504
Alken Fund SICAV	/fonds/fondgesellschaften/3018
AllianceBernstein (Luxembourg) S.à r.l.	/fonds/fondgesellschaften/3301
AllianceBernstein (Luxembourg) S.A.	/fonds/fondgesellschaften/3223
Allianz Global Investors Fund SICAV	/fonds/fondgesellschaften/3296
Allianz Global Investors Fund VII	/fonds/fondgesellschaften/3457
Allianz Global Investors GmbH	/fonds/fondgesellschaften/3529
Allianz Global Investors Ireland Ltd.	/fonds/fondgesellschaften/835
Allianz Global Investors KAG mbH	/fonds/fondgesellschaften/3299
Allianz Global Investors Luxembourg S.A.	/fonds/fondgesellschaften/743
Allianz Invest	/fonds/fondgesellschaften/759
Allinvest Fund S.A. Sicav-SIF	/fonds/fondgesellschaften/3271
ALPS Fund Services, Inc	/fonds/fondgesellschaften/3143
Alte Leipziger Trust Investment	/fonds/fondgesellschaften/530
Balfidor Fondsleitung AG	/fonds/fondgesellschaften/3185
Baloise Fund Invest (Basler Versicherung)	/fonds/fondgesellschaften/700
Baloise Fund Invest (Lux) SICAV	/fonds/fondgesellschaften/3408
Bank CIC (Schweiz) AG	/fonds/fondgesellschaften/3196
Bank of China International (BOCI) Commerzbank	/fonds/fondgesellschaften/3560
Bankinvest BISA S.A.	/fonds/fondgesellschaften/3155
Banque de Luxemburg	/fonds/fondgesellschaften/496
Banque et Caisse d’Epargne de l’Etat	/fonds/fondgesellschaften/3544
Bantleon Invest S. A.	/fonds/fondgesellschaften/3360
Baring Fund Mgt.	/fonds/fondgesellschaften/471
Baring Global Umbrella Fund	/fonds/fondgesellschaften/3515
Baring International Fund Managers (Ireland) Limited	/fonds/fondgesellschaften/3549
Baring Investment Funds plc	/fonds/fondgesellschaften/3412
BAWAG P.S.K. Invest GmbH	/fonds/fondgesellschaften/3110
BayernInvest Kapitalanlagegesellschaft mbH	/fonds/fondgesellschaften/1604
BayernInvest Luxembourg S.A.	/fonds/fondgesellschaften/544
BCEE Asset Management S.A.	/fonds/fondgesellschaften/3550
Bellevue Funds (Lux)	/fonds/fondgesellschaften/3069
Berenberg Lux Invest	/fonds/fondgesellschaften/539
BFC Fund Management AG	/fonds/fondgesellschaften/3553
bfw fondsleitung AG	/fonds/fondgesellschaften/3071
BIL PATRIMONIAL SICAV	/fonds/fondgesellschaften/3474
BL Société d'Investissements à Capital Variable	/fonds/fondgesellschaften/3210
Black Rock Asset Management Ireland Limited	/fonds/fondgesellschaften/3204
BlackRock (Luxembourg) S.A.	/fonds/fondgesellschaften/2973
BlackRock Asset Management Deutschland AG	/fonds/fondgesellschaften/437
BlackRock Asset Management Ireland Limited	/fonds/fondgesellschaften/3315
